Year,Round,HigherSeed,Score,HigherTeam,LowerTeam,Score,LowerSeed,Winner
2016,2,2,63,Xavier,Wisconsin,66,7,Wisconsin
2016,2,14,75,Stephen F Austin,Notre Dame,76,6,Notre Dame
2016,2,4,67,Kentucky,Indiana,73,5,Indiana
2016,2,1,77,Virginia,Butler,69,9,Virginia
2016,2,15,50,Middle Tennessee St,Syracuse,75,10,Syracuse
2016,2,3,59,Utah,Gonzaga,82,11,Gonzaga
2016,2,4,78,Iowa St,Arkansas Little Rock,61,12,Iowa St
2016,3,1,79,Kansas,Maryland,63,5,Kansas
2016,3,2,92,Villanova,Miami,69,3,Villanova
2016,3,1,82,Oregon,Duke,68,4,Oregon
2016,3,2,77,Oklahoma,Texas A&M,63,3,Oklahoma
2016,3,1,101,North Carolina,Indiana,86,5,North Carolina
2016,3,7,56,Wisconsin,Notre Dame,61,6,Notre Dame
2016,3,1,84,Virginia,Iowa St,71,4,Virginia
2016,3,10,63,Syracuse,Gonzaga,60,11,Syracuse
2016,4,1,59,Kansas,Villanova,64,2,Villanova
2016,4,1,68,Oregon,Oklahoma,80,2,Oklahoma
2016,4,1,88,North Carolina,Notre Dame,74,6,North Carolina
2016,4,1,62,Virginia,Syracuse,68,10,Syracuse
2016,5,2,95,Villanova,Oklahoma,51,2,Villanova
2016,5,1,83,North Carolina,Syracuse,66,10,North Carolina
2016,6,2,77,Villanova,North Carolina,74,1,Villanova
2017,1,1,76,Villanova,Mount St Marys,56,16,Villanova
2017,1,2,87,Duke,Troy,65,15,Duke
2017,1,3,91,Baylor,New Mexico St,73,14,Baylor
2017,1,4,80,Florida,East Tennessee St,65,13,Florida
2017,1,5,76,Virginia,UNC Wilmington,71,12,Virginia
2017,1,6,65,SMU,USC,66,11,USC
2017,1,7,93,South Carolina,Marquette,73,10,South Carolina
2017,1,8,84,Wisconsin,Virginia Tech,74,9,Wisconsin
2017,1,1,66,Gonzaga,South Dakota St,46,16,Gonzaga
2017,1,2,100,Arizona,North Dakota,82,15,Arizona
2017,1,3,86,Florida St,Florida Gulf Coast,80,14,Florida St
2017,1,4,86,West Virginia,Bucknell,80,13,West Virginia
2017,1,5,60,Notre Dame,Princeton,58,12,Notre Dame
2017,1,6,65,Maryland,Xavier,76,11,Xavier
2017,1,7,85,St Marys,VCU,77,10,St Marys
2017,1,8,68,Northwestern,Vanderbilt,66,9,Northwestern
2017,1,1,100,Kansas,UC Davis,62,16,Kansas
2017,1,2,78,Louisville,Jacksonville St,63,15,Louisville
2017,1,3,93,Oregon,Iona,77,14,Oregon
2017,1,4,80,Purdue,Vermont,70,13,Purdue
2017,1,5,84,Iowa St,Nevada,73,12,Iowa St
2017,1,6,72,Creighton,Rhode Island,84,11,Rhode Island
2017,1,7,92,Michigan,Oklahoma St,91,10,Michigan
2017,1,8,58,Miami,Michigan St,78,9,Michigan St
2017,1,1,103,North Carolina,Texas Southern,64,16,North Carolina
2017,1,2,79,Kentucky,Northern Kentucky,70,15,Kentucky
2017,1,3,97,UCLA,Kent St,80,14,UCLA
2017,1,4,76,Butler,Winthrop,64,13,Butler
2017,1,5,72,Minnesota,Middle Tennessee St,81,12,Middle Tennessee St
2017,1,6,75,Cincinnati,Kansas St,61,11,Cincinnati
2017,1,7,58,Dayton,Wichita St,64,10,Wichita St
2017,1,8,77,Arkansas,Seton Hall,71,9,Arkansas
2017,2,1,62,Villanova,Wisconsin,65,8,Wisconsin
2017,2,2,81,Duke,South Carolina,88,7,South Carolina
2017,2,3,82,Baylor,USC,78,11,Baylor
2017,2,4,65,Florida,Virginia,39,5,Florida
2017,2,1,79,Gonzaga,Northwestern,73,8,Gonzaga
2017,2,2,69,Arizona,St Marys,60,7,Arizona
2017,2,3,66,Florida St,Xavier,91,11,Xavier
2017,2,4,83,West Virginia,Notre Dame,71,5,West Virginia
2017,2,1,90,Kansas,Michigan St,70,9,Kansas
2017,2,2,69,Louisville,Michigan,73,7,Michigan
2017,2,3,75,Oregon,Rhode Island,72,11,Oregon
2017,2,4,80,Purdue,Iowa St,76,5,Purdue
2017,2,1,72,North Carolina,Arkansas,65,8,North Carolina
2017,2,2,65,Kentucky,Wichita St,62,10,Kentucky
2017,2,3,79,UCLA,Cincinnati,67,6,UCLA
2017,2,4,74,Butler,Middle Tennessee St,65,12,Butler
2017,3,8,83,Wisconsin,Florida,84,4,Florida
2017,3,7,70,South Carolina,Baylor,50,3,South Carolina
2017,3,1,61,Gonzaga,West Virginia,58,4,Gonzaga
2017,3,2,71,Arizona,Xavier,73,11,Xavier
2017,3,1,98,Kansas,Purdue,66,4,Kansas
2017,3,7,68,Michigan,Oregon,69,3,Oregon
2017,3,1,92,North Carolina,Butler,80,4,North Carolina
2017,3,2,86,Kentucky,UCLA,75,3,Kentucky
2017,4,4,70,Florida,South Carolina,77,7,South Carolina
2017,4,1,83,Gonzaga,Xavier,59,11,Gonzaga
2017,4,1,60,Kansas,Oregon,74,3,Oregon
2017,4,1,75,North Carolina,Kentucky,73,2,North Carolina
2017,5,7,73,South Carolina,Gonzaga,77,1,Gonzaga
2017,5,3,76,Oregon,North Carolina,77,1,North Carolina
2017,6,1,65,Gonzaga,North Carolina,71,1,North Carolina
2018,1,1,54,Virginia,UMBC,74,16,UMBC
2018,1,2,68,Cincinnati,Georgia St,53,15,Cincinnati
2018,1,3,73,Tennessee,Wright St,47,14,Tennessee
2018,1,4,68,Arizona,Buffalo,89,13,Buffalo
2018,1,5,78,Kentucky,Davidson,73,12,Kentucky
2018,1,6,62,Miami,Loyola Chicago,64,11,Loyola Chicago
2018,1,7,87,Nevada,Texas,83,10,Nevada
2018,1,8,59,Creighton,Kansas St,69,9,Kansas St
2018,1,1,102,Xavier,Texas Southern,83,16,Xavier
2018,1,2,84,North Carolina,Lipscomb,66,15,North Carolina
2018,1,3,61,Michigan,Montana,47,14,Michigan
2018,1,4,68,Gonzaga,UNC Greensboro,64,13,Gonzaga
2018,1,5,81,Ohio St,South Dakota St,73,12,Ohio St
2018,1,6,67,Houston,San Diego St,65,11,Houston
2018,1,7,73,Texas A&M,Providence,69,10,Texas A&M
2018,1,8,54,Missouri,Florida St,67,9,Florida St
2018,1,1,87,Villanova,Radford,61,16,Villanova
2018,1,2,74,Purdue,Cal St Fullerton,48,15,Purdue
2018,1,3,70,Texas Tech,Stephen F Austin,60,14,Texas Tech
2018,1,4,75,Wichita St,Marshall,81,13,Marshall
2018,1,5,85,West Virginia,Murray St,68,12,West Virginia
2018,1,6,77,Florida,St Bonaventure,62,11,Florida
2018,1,7,62,Arkansas,Butler,79,10,Butler
2018,1,8,83,Virginia Tech,Alabama,86,9,Alabama
2018,1,1,76,Kansas,Pennsylvania,60,16,Kansas
2018,1,2,89,Duke,Iona,67,15,Duke
2018,1,3,82,Michigan St,Bucknell,78,14,Michigan St
2018,1,4,62,Auburn,College of Charleston,58,13,Auburn
2018,1,5,79,Clemson,New Mexico St,68,12,Clemson
2018,1,6,52,TCU,Syracuse,57,11,Syracuse
2018,1,7,83,Rhode Island,Oklahoma,78,10,Rhode Island
2018,1,8,94,Seton Hall,NC State,83,9,Seton Hall
2018,2,16,43,UMBC,Kansas St,50,9,Kansas St
2018,2,2,73,Cincinnati,Nevada,75,7,Nevada
2018,2,3,62,Tennessee,Loyola Chicago,63,11,Loyola Chicago
2018,2,13,75,Buffalo,Kentucky,95,5,Kentucky
2018,2,1,70,Xavier,Florida St,75,9,Florida St
2018,2,2,65,North Carolina,Texas A&M,86,7,Texas A&M
2018,2,3,64,Michigan,Houston,63,6,Michigan
2018,2,4,90,Gonzaga,Ohio St,84,5,Gonzaga
2018,2,1,81,Villanova,Alabama,58,9,Villanova
2018,2,2,76,Purdue,Butler,73,10,Purdue
2018,2,3,69,Texas Tech,Florida,66,6,Texas Tech
2018,2,13,71,Marshall,West Virginia,94,5,West Virginia
2018,2,1,83,Kansas,Seton Hall,79,8,Kansas
2018,2,2,87,Duke,Rhode Island,62,7,Duke
2018,2,3,53,Michigan St,Syracuse,55,11,Syracuse
2018,2,4,53,Auburn,Clemson,84,5,Clemson
2018,3,9,61,Kansas St,Kentucky,58,5,Kansas St
2018,3,7,68,Nevada,Loyola Chicago,69,11,Loyola Chicago
2018,3,9,75,Florida St,Gonzaga,60,4,Florida St
2018,3,7,72,Texas A&M,Michigan,99,3,Michigan
2018,3,1,90,Villanova,West Virginia,78,5,Villanova
2018,3,2,65,Purdue,Texas Tech,78,3,Texas Tech
2018,3,1,80,Kansas,Clemson,76,5,Kansas
2018,3,2,69,Duke,Syracuse,65,11,Duke
2018,4,9,62,Kansas St,Loyola Chicago,78,11,Loyola Chicago
2018,4,9,54,Florida St,Michigan,58,3,Michigan
2018,4,1,71,Villanova,Texas Tech,59,3,Villanova
2018,4,1,85,Kansas,Duke,81,2,Kansas
2018,5,11,57,Loyola Chicago,Michigan,69,3,Michigan
2018,5,1,95,Villanova,Kansas,79,1,Villanova
2018,6,3,62,Michigan,Villanova,79,1,Villanova
2019,1,1,85,Duke,North Dakota St,62,16,Duke
2019,1,2,76,Michigan St,Bradley,65,15,Michigan St
2019,1,3,79,LSU,Yale,74,14,LSU
2019,1,4,66,Virginia Tech,St Louis,52,13,Virginia Tech
2019,1,5,76,Mississippi St,Liberty,80,12,Liberty
2019,1,6,79,Maryland,Belmont,77,11,Maryland
2019,1,7,76,Louisville,Minnesota,86,10,Minnesota
2019,1,8,58,VCU,Central Florida,73,9,Central Florida
2019,1,1,87,Gonzaga,Fairleigh Dickinson,49,16,Gonzaga
2019,1,2,74,Michigan,Montana,55,15,Michigan
2019,1,3,72,Texas Tech,Northern Kentucky,57,14,Texas Tech
2019,1,4,76,Florida St,Vermont,69,13,Florida St
2019,1,5,64,Marquette,Murray St,83,12,Murray St
2019,1,6,91,Buffalo,Arizona St,74,11,Buffalo
2019,1,7,61,Nevada,Florida,70,10,Florida
2019,1,8,69,Syracuse,Baylor,78,9,Baylor
2019,1,1,71,Virginia,Gardner Webb,56,16,Virginia
2019,1,2,77,Tennessee,Colgate,70,15,Tennessee
2019,1,3,61,Purdue,Old Dominion,48,14,Purdue
2019,1,4,64,Kansas St,UC Irvine,70,13,UC Irvine
2019,1,5,54,Wisconsin,Oregon,72,12,Oregon
2019,1,6,61,Villanova,St Marys,57,11,Villanova
2019,1,7,72,Cincinnati,Iowa,79,10,Iowa
2019,1,8,72,Ole Miss,Oklahoma,95,9,Oklahoma
2019,1,1,88,North Carolina,Iona,73,16,North Carolina
2019,1,2,79,Kentucky,Abilene Christian,44,15,Kentucky
2019,1,3,84,Houston,Georgia St,55,14,Houston
2019,1,4,87,Kansas,Northeastern,53,13,Kansas
2019,1,5,78,Auburn,New Mexico St,77,12,Auburn
2019,1,6,59,Iowa St,Ohio St,62,11,Ohio St
2019,1,7,84,Wofford,Seton Hall,68,10,Wofford
2019,1,8,61,Utah St,Washington,78,9,Washington
2019,2,1,77,Duke,Central Florida,76,9,Duke
2019,2,2,70,Michigan St,Minnesota,50,10,Michigan St
2019,2,3,69,LSU,Maryland,67,6,LSU
2019,2,4,67,Virginia Tech,Liberty,58,12,Virginia Tech
2019,2,1,83,Gonzaga,Baylor,71,9,Gonzaga
2019,2,2,64,Michigan,Florida,49,10,Michigan
2019,2,3,78,Texas Tech,Buffalo,58,6,Texas Tech
2019,2,4,90,Florida St,Murray St,62,12,Florida St
2019,2,1,63,Virginia,Oklahoma,51,9,Virginia
2019,2,2,83,Tennessee,Iowa,77,10,Tennessee
2019,2,3,87,Purdue,Villanova,61,6,Purdue
2019,2,13,54,UC Irvine,Oregon,73,12,Oregon
2019,2,1,81,North Carolina,Washington,59,9,North Carolina
2019,2,2,62,Kentucky,Wofford,56,7,Kentucky
2019,2,3,74,Houston,Ohio St,59,11,Houston
2019,2,4,75,Kansas,Auburn,89,5,Auburn
2019,3,1,75,Duke,Virginia Tech,73,4,Duke
2019,3,2,80,Michigan St,LSU,63,3,Michigan St
2019,3,1,72,Gonzaga,Florida St,58,4,Gonzaga
2019,3,2,44,Michigan,Texas Tech,63,3,Texas Tech
2019,3,1,53,Virginia,Oregon,49,12,Virginia
2019,3,2,94,Tennessee,Purdue,99,3,Purdue
2019,3,1,80,North Carolina,Auburn,97,5,Auburn
2019,3,2,62,Kentucky,Houston,58,3,Kentucky
2019,4,1,67,Duke,Michigan St,68,2,Michigan St
2019,4,1,69,Gonzaga,Texas Tech,75,3,Texas Tech
2019,4,1,80,Virginia,Purdue,75,3,Virginia
2019,4,5,77,Auburn,Kentucky,71,2,Auburn
2019,5,2,51,Michigan St,Texas Tech,61,3,Texas Tech
2019,5,1,63,Virginia,Auburn,62,5,Virginia
2019,6,3,77,Texas Tech,Virginia,85,1,Virginia
2021,1,16,60,Texas Southern,Mount St Marys,52,16,
2021,1,16,53,Appalacian St,Norfolk St,54,16,
2021,1,11,53,Drake,Wichita St,52,11,
2021,1,11,86,UCLA,Michigan St,80,11,
2021,1,7,75,Florida,Virginia Tech,70,10,
2021,1,3,85,Arkansas,Colgate,68,14,
2021,1,1,78,Illinois,Drexel,49,16,
2021,1,6,65,Texas Tech,Utah St,53,11,
2021,1,2,72,Ohio St,Oral Roberts,75,15,
2021,1,1,79,Baylor,Hartford,55,16,
2021,1,8,71,Loyola Chicago,Georgia Tech,60,9,
2021,1,5,56,Tennessee,Oregon St,70,12,
2021,1,4,69,Oklahoma St,Liberty,60,13,
2021,1,8,62,North Carolina,Wisconsin,85,9,
2021,1,2,87,Houston,Cleveland St,56,15,
2021,1,4,69,Purdue,North Texas,78,13,
2021,1,7,56,Clemson,Rutgers,60,10,
2021,1,6,62,San Diego St,Syracuse,78,11,
2021,1,5,73,Villanova,Winthrop,63,12,
2021,1,3,84,West Virginia,Morehead St,67,14,
2021,1,5,96,Colorado,Georgetown,73,12,
2021,1,4,64,Florida St,UNC Greensboro,54,13,
2021,1,3,93,Kansas,Eastern Washington,84,14,
2021,1,8,76,LSU,St Bonaventure,61,9,
2021,1,1,82,Michigan,Texas Southern,66,16,
2021,1,5,63,Creighton,UC Santa Barbara,62,12,
2021,1,2,68,Alabama,Iona,55,15,
2021,1,6,72,USC,Drake,56,11,
2021,1,2,86,Iowa,Grand Canyon,74,15,
2021,1,7,54,Connecticut,Maryland,63,10,
2021,1,4,58,Virginia,Ohio,62,13,
2021,1,8,72,Oklahoma,Missouri,68,9,
2021,1,1,98,Gonzaga,Norfolk St,55,16,
2021,1,6,62,BYU,UCLA,73,11,
2021,1,3,52,Texas,Abilene Christian,53,14,
2021,2,1,58,Illinois,Loyola Chicago,71,8,
2021,2,1,76,Baylor,Wisconsin,63,9,
2021,2,3,72,West Virginia,Syracuse,75,11,
2021,2,3,68,Arkansas,Texas Tech,66,6,
2021,2,2,63,Houston,Rutgers,60,10,
2021,2,7,78,Florida,Oral Roberts,81,15,
2021,2,5,84,Villanova,North Texas,61,13,
2021,2,4,70,Oklahoma St,Oregon St,80,12,
2021,2,2,80,Iowa,Oregon,95,7,
2021,2,1,87,Gonzaga,Oklahoma,71,8,
2021,2,11,67,UCLA,Abilene Christian,47,14,
2021,2,5,72,Creighton,Ohio,58,13,
2021,2,1,86,Michigan,LSU,78,8,
2021,2,4,71,Florida St,Colorado,53,5,
2021,2,2,96,Alabama,Maryland,77,10,
2021,2,3,51,Kansas,USC,85,6,
2021,3,8,58,Loyola Chicago,Oregon St,65,12,
2021,3,1,62,Baylor,Villanova,51,5,
2021,3,3,72,Arkansas,Oral Roberts,70,15,
2021,3,2,62,Houston,Syracuse,46,11,
2021,3,1,83,Gonzaga,Creighton,65,5,
2021,3,1,76,Michigan,Florida St,58,4,
2021,3,2,78,Alabama,UCLA,88,11,
2021,3,6,82,USC,Oregon,68,7,
2021,4,2,67,Houston,Oregon St,61,12,
2021,4,1,85,Gonzaga,USC,66,6,
2021,4,1,49,Michigan,UCLA,51,11,
2021,4,1,81,Baylor,Arkansas,72,11,
2021,5,1,78,Baylor,Houston,59,2,
2021,5,1,93,Gonzaga,UCLA,90,11,
2021,6,1,86,Baylor,Gonzaga,70,1,
